Task_ID,Project_Phase,Start_Date,End_Date,Planned_Duration_Days,Task_Duration_Days,Schedule_Variance_Days,Delay_Flag,Labor_Required,Equipment_Units,Planned_Cost_USD,Material_Cost_USD,Cost_Variance_USD,Start_Constraint,Risk_Level,Resource_Constraint_Score,Site_Constraint_Score,Dependency_Count,Safety_Incident_Count,Incident_Severity,Near_Miss_Count,Safety_Score
T1,Structural,2024-07-29,2024-09-19,41,52,11,1,14,6,15820.2,16789.73,969.53,0,Medium,0.41,0.59,4,0,None,0,100.0
T2,Closeout & Commissioning,2024-12-30,2025-01-14,15,15,0,0,2,2,14218.2,16885.8,2667.6,5,Low,0.75,0.17,3,0,None,0,96.9
T3,Finishing & Interiors,2024-11-04,2025-01-15,54,72,18,1,11,1,6394.16,7978.7,1584.54,22,Low,0.96,0.41,1,0,None,2,92.7
T4,MEP,2024-09-24,2024-11-24,53,61,8,1,1,5,17064.94,19379.02,2314.08,18,Low,0.41,0.67,4,0,None,0,100.0
T5,Foundation & Sitework,2024-05-09,2024-05-30,20,21,1,1,19,5,67772.0,66757.72,-1014.28,22,Low,0.85,0.63,3,1,Minor,0,80.6
T6,Foundation & Sitework,2024-05-07,2024-07-29,83,83,0,0,4,2,97808.45,88287.37,-9521.08,10,High,0.24,0.6,2,2,Moderate,0,55.9
T7,Pre-Construction,2024-04-08,2024-07-04,88,87,-1,0,19,6,82901.56,81598.44,-1303.12,10,Low,0.63,0.33,0,0,None,0,96.6
T8,Finishing & Interiors,2024-12-27,2025-03-12,75,75,0,0,11,9,69168.33,68828.3,-340.03,22,Low,0.26,0.4,1,0,None,2,95.0
T9,MEP,2024-09-06,2024-11-20,57,75,18,1,8,2,11230.11,11932.75,702.64,29,Low,0.95,0.18,0,3,Moderate,1,38.5
T10,Finishing & Interiors,2024-11-13,2025-02-09,87,88,1,1,11,2,26721.95,29629.56,2907.61,12,Medium,0.81,0.68,2,0,None,0,100.0
T11,Pre-Construction,2024-04-08,2024-05-02,22,24,2,1,4,3,29314.73,31670.88,2356.15,10,Low,0.73,0.5,4,0,None,0,99.5
T12,Closeout & Commissioning,2025-02-10,2025-02-13,3,3,0,0,17,7,26166.76,25745.74,-421.02,17,Medium,0.86,0.67,4,0,None,2,94.0
T13,Finishing & Interiors,2024-12-23,2025-01-14,18,22,4,1,7,6,58288.71,51985.56,-6303.15,22,Low,0.72,0.3,2,0,None,0,97.5
T14,Foundation & Sitework,2024-06-03,2024-07-26,54,53,-1,0,8,8,54400.99,54019.83,-381.16,14,Low,0.98,0.36,2,0,None,2,93.7
T15,Foundation & Sitework,2024-04-23,2024-04-25,1,2,1,1,3,8,32836.14,36331.71,3495.57,0,Low,0.77,0.37,1,0,None,0,100.0
T16,Foundation & Sitework,2024-05-16,2024-08-12,81,88,7,1,2,6,33485.72,36025.13,2539.41,20,High,0.94,0.12,3,0,None,0,100.0
T17,Structural,2024-07-22,2024-08-21,21,30,9,1,15,3,83878.69,83027.0,-851.69,24,High,0.61,0.37,0,1,Serious,1,59.5
T18,MEP,2024-08-12,2024-09-19,37,38,1,1,5,3,68510.32,79139.99,10629.67,6,Low,0.29,0.74,0,1,Minor,0,85.8
T19,Structural,2024-08-23,2024-08-25,1,2,1,1,1,1,31126.59,31471.79,345.2,22,Medium,0.62,0.82,4,0,None,0,100.0
T20,Structural,2024-07-26,2024-09-28,56,64,8,1,4,7,91891.73,91465.06,-426.67,26,High,0.3,0.51,4,0,None,3,94.2
T21,MEP,2024-08-07,2024-10-06,44,60,16,1,15,5,93575.92,95328.69,1752.77,12,Low,0.67,0.46,1,0,None,3,93.6
T22,Foundation & Sitework,2024-05-08,2024-05-29,18,21,3,1,19,4,29954.15,33347.51,3393.36,11,High,0.59,0.12,2,1,Minor,5,65.6
T23,Structural,2024-08-19,2024-09-21,33,33,0,0,3,4,31285.38,36088.07,4802.69,17,Low,0.7,0.8,0,0,None,1,92.1
T24,Structural,2024-07-01,2024-09-15,54,76,22,1,11,4,47864.07,51057.78,3193.71,23,High,0.21,0.11,1,1,Moderate,1,69.1
T25,MEP,2024-09-17,2024-11-14,69,58,-11,0,17,6,70946.14,94170.96,23224.82,18,Medium,0.36,0.86,4,1,Minor,0,86.6
T26,Finishing & Interiors,2024-11-12,2024-12-04,18,22,4,1,13,8,81086.07,87755.62,6669.55,14,High,0.59,0.49,4,0,None,0,99.1
T27,Foundation & Sitework,2024-04-17,2024-07-15,76,89,13,1,11,8,10989.3,11154.23,164.93,7,Medium,0.96,0.37,0,0,None,2,93.0
T28,MEP,2024-10-02,2024-11-20,49,49,0,0,2,5,39407.41,39880.34,472.93,18,Low,0.51,0.84,4,0,None,0,100.0
T29,MEP,2024-08-14,2024-10-12,59,59,0,0,9,6,44671.99,55783.75,11111.76,9,High,0.54,0.12,4,1,Minor,0,89.0
T30,Pre-Construction,2024-04-08,2024-05-20,38,42,4,1,2,4,44529.41,50810.11,6280.7,6,Low,0.77,0.57,3,0,None,0,100.0
T31,MEP,2024-10-28,2024-12-27,46,60,14,1,9,9,17074.9,20192.44,3117.54,17,Low,0.68,0.54,2,0,None,2,92.1
T32,Foundation & Sitework,2024-04-18,2024-07-07,80,80,0,0,9,8,83044.58,86022.86,2978.28,15,Medium,0.44,0.28,4,1,Minor,0,86.9
T33,Pre-Construction,2024-04-01,2024-04-16,12,15,3,1,8,1,66750.47,68017.14,1266.67,19,Medium,0.53,0.44,3,2,Minor,2,61.7
T34,Closeout & Commissioning,2025-02-10,2025-04-13,73,62,-11,0,17,2,73200.1,83952.93,10752.83,26,High,0.37,0.62,1,1,Moderate,3,62.9
T35,Closeout & Commissioning,2025-01-27,2025-03-30,72,62,-10,0,1,9,67982.84,86017.66,18034.82,5,Low,0.97,0.68,4,0,None,2,90.8
T36,Finishing & Interiors,2024-12-16,2025-02-01,47,47,0,0,11,8,58211.18,75087.23,16876.05,26,Medium,0.3,0.1,1,0,None,0,98.4
T37,Structural,2024-08-21,2024-10-22,56,62,6,1,8,3,46279.13,44481.85,-1797.28,8,Medium,0.5,0.85,4,0,None,0,99.3
T38,Foundation & Sitework,2024-05-02,2024-06-22,52,51,-1,0,10,8,61538.42,61444.13,-94.29,20,Low,0.22,0.23,0,3,Minor,2,52.3
T39,MEP,2024-08-14,2024-10-08,42,55,13,1,7,1,12979.29,16876.18,3896.89,12,Low,0.38,0.29,3,0,None,0,96.2
T40,Structural,2024-06-06,2024-08-09,50,64,14,1,3,4,59882.48,67690.9,7808.42,24,Low,0.82,0.31,3,0,None,0,100.0
T41,Foundation & Sitework,2024-06-10,2024-06-13,2,3,1,1,3,3,18993.19,18746.07,-247.12,20,Low,0.36,0.13,0,0,None,0,100.0
T42,MEP,2024-10-07,2024-11-27,38,51,13,1,18,6,72910.29,69701.01,-3209.28,25,High,0.26,0.2,2,0,None,0,97.9
T43,Pre-Construction,2024-04-08,2024-04-15,6,7,1,1,5,7,18134.95,23730.22,5595.27,7,Medium,0.58,0.89,3,0,None,0,99.9
T44,Closeout & Commissioning,2025-01-27,2025-02-17,21,21,0,0,12,4,14156.25,12637.58,-1518.67,15,Medium,0.21,0.35,1,1,Minor,3,74.0
T45,Structural,2024-06-12,2024-08-24,72,73,1,1,12,7,19845.4,17363.16,-2482.24,12,High,0.27,0.19,3,1,Minor,1,83.0
T46,MEP,2024-09-27,2024-11-05,34,39,5,1,19,9,1330.34,1197.22,-133.12,12,Low,0.85,0.19,2,0,None,1,96.3
T47,Structural,2024-08-12,2024-08-30,16,18,2,1,6,2,71760.98,72155.22,394.24,16,High,0.82,0.68,1,2,Minor,0,66.6
T48,MEP,2024-10-28,2024-11-01,3,4,1,1,2,3,74796.09,73507.7,-1288.39,22,Low,0.93,0.78,1,0,None,0,96.2
T49,MEP,2024-09-13,2024-12-11,102,89,-13,0,12,5,47267.87,51978.4,4710.53,19,High,0.88,0.31,0,1,Minor,0,85.5
T50,Foundation & Sitework,2024-04-19,2024-06-18,56,60,4,1,19,3,16860.97,16974.92,113.95,4,Low,0.75,0.12,4,2,Minor,0,74.0
